"Chapter","SourceWords","RevisedChapterWords","NativeWords"
"1","2341","3261","3260"
"2","1999","2600","2599"
"3","2183","2503","2502"
"4","1972","2503","2502"
"5","1922","2308","2307"
"6","1891","2253","2252"
"7","1803","2058","2057"
"8","1722","2502","2501"
"9","1856","2373","2372"
"10","1935","2443","2442"
"11","1937","2317","2316"
"12","1840","2120","2119"
"13","1476","1908","1907"
"14","1683","1965","1964"
"15","1692","1964","1963"
"16","1598","1778","1777"
"17","1558","1728","1727"
"18","1547","1731","1730"
"19","1527","1646","1645"
"20","1612","1719","1718"
"21","1394","1518","1517"
"22","1367","1466","1465"
"23","2440","2426","2425"
"24","2033","2128","2127"
"25","1787","1773","1772"
"26","1840","1905","1904"
"27","1833","2510","2509"
"28","1900","2378","2377"
