"Chapter","Title","SourceWords","DraftWords","Difference","DraftPercent"
"1","Chapter 1: The Refrigerator Gets a Better Offer","2290","1905","-385","83.2"
"2","Chapter 2: Everybody Bet Against the Old Man","2061","1513","-548","73.4"
"3","Chapter 3: Your Grandmother Owns the Dance Floor","1979","1734","-245","87.6"
"4","Chapter 4: The Man with Two Tow Trucks","2017","1443","-574","71.5"
"5","Chapter 5: Nobody Ordered This Much Shrimp","1883","1456","-427","77.3"
"6","Chapter 6: The House Asked for Another Table","1830","1531","-299","83.7"
"7","Chapter 7: Mai Brings Her Own Camera","1960","1584","-376","80.8"
"8","Chapter 8: A Very Inconvenient Wedding","2113","1533","-580","72.6"
"9","Chapter 9: Duke Gets His Shoes Wet","1873","1419","-454","75.8"
"10","Chapter 10: The Cannery Has Visitors","1879","1489","-390","79.2"
"11","Chapter 11: Auntie Sets the Price","1700","1299","-401","76.4"
"12","Chapter 12: Bishop Brings a Choir","1868","1424","-444","76.2"
"13","Chapter 13: A Night Off Costs Extra","2373","1946","-427","82"
"14","Chapter 14: The Wrong Man in the Trunk","1770","1364","-406","77.1"
"15","Chapter 15: The Midnight Train Is Early","1710","1544","-166","90.3"
"16","Chapter 16: The River Queen Leaves Early","1686","1368","-318","81.1"
"17","Chapter 17: Duke Gets a Better Job","1618","1158","-460","71.6"
"18","Chapter 18: The Band Refuses to Stop","1463","1211","-252","82.8"
"19","Chapter 19: Rook Cuts the Lights","1593","1359","-234","85.3"
"20","Chapter 20: Nobody Gets to Sink My Wife","1518","1485","-33","97.8"
"21","Chapter 21: Three Boats and a Bad Idea","1239","1095","-144","88.4"
"22","Chapter 22: Forty Tonnes before Breakfast","1635","1423","-212","87"
"23","Chapter 23: The Man at the Top","1729","1385","-344","80.1"
"24","Chapter 24: The Afterparty Has Stitches","1510","1207","-303","79.9"
"25","Chapter 25: Rook Signs the Receipt","1458","1287","-171","88.3"
"26","Chapter 26: Nobody Bought Enough Chairs","1526","1210","-316","79.3"
"27","Chapter 27: The Bride Comes Back","1356","1299","-57","95.8"
"28","Chapter 28: Hòa Keeps His Own Hours","1177","1322","145","112.3"
"29","Chapter 29: The Long Way Home","1886","1435","-451","76.1"
