"Chapter","Source","Draft","Percent"
"1","1850","1625","87.8"
"2","1928","1691","87.7"
"3","1792","1533","85.5"
"4","1884","1745","92.6"
"5","1850","1767","95.5"
"6","1957","1630","83.3"
"7","1548","1478","95.5"
"8","1964","1904","96.9"
"9","1657","1552","93.7"
"10","1860","1500","80.6"
"11","1677","1664","99.2"
"12","2291","1925","84"
"13","1875","1766","94.2"
"14","1635","1572","96.1"
"15","2172","1820","83.8"
"16","1956","1661","84.9"
"17","2205","1987","90.1"
"18","2092","1866","89.2"
"19","2091","1971","94.3"
"20","2327","1902","81.7"
"21","2023","1697","83.9"
"22","1970","1828","92.8"
"23","2402","2114","88"
"24","2437","2056","84.4"
"25","2618","2311","88.3"
"26","2064","1903","92.2"
