id,title,volume,page,input,pace,memory,native_coop,fit_tier,source_urls
P001,The Blackwell Legacy,1,18,pointer,waits,moderate,no,promising,https://store.steampowered.com/app/80330/ | https://steamcommunity.com/app/80330/allnews/ | https://www.keengamer.com/articles/reviews/the-blackwell-legacy-review/
P002,The Darkside Detective,1,19,pointer,waits,moderate,no,conditional,https://store.steampowered.com/api/appdetails?appids=368390&l=english | https://www.bigbossbattle.com/review-the-darkside-detective/
P003,Phoenix Wright: Ace Attorney Trilogy,1,20,pointer,waits,heavy,no,promising,https://store.steampowered.com/app/787480/ | https://steamcommunity.com/app/787480/announcements/
P004,Strange Horticulture,1,21,pointer,waits,heavy,no,conditional,https://store.steampowered.com/app/1574580/ | https://steamdb.info/patchnotes/8300183/ | https://www.gamesradar.com/have-you-tried-strange-horticulture/
P005,The Case of the Golden Idol,1,22,pointer,waits,heavy,no,conditional,https://store.steampowered.com/app/1677770/ | https://steamcommunity.com/app/1677770/allnews/
P006,Syberia,1,23,pointer,unknown,moderate,no,conditional,https://store.steampowered.com/app/46500/ | https://support.microids.com/fr/support/solutions/articles/23000009217-solutions-syberia-1-et-2
P007,Unavowed,1,24,pointer,unknown,heavy,no,conditional,https://store.steampowered.com/app/336140/ | https://gamecritics.com/gc-staff/unavowed-review/
P008,Her Story,1,25,text,mixed,heavy,no,conditional,https://store.steampowered.com/app/368370/ | https://steamcommunity.com/app/368370/discussions/0/530645446312998268/
P009,The Excavation of Hob's Barrow,1,26,pointer,unknown,moderate,no,conditional,https://store.steampowered.com/app/1182310/ | https://www.nintendolife.com/reviews/switch-eshop/the-excavation-of-hobs-barrow | https://as.com/meristation/2022/09/28/analisis/1664375021_208084.html
P010,Pentiment,1,27,mixed,mixed,heavy,no,conditional,https://pentiment.obsidian.net/ | https://www.mmorpg.com/interviews/the-rpg-files-building-obsidians-pentiment-interview-with-game-director-josh-sawyer-2000126821
P011,Old Skies,1,29,pointer,unknown,heavy,no,conditional,https://store.steampowered.com/app/1346360/
P012,Primordia,1,30,pointer,unknown,moderate,no,conditional,https://store.steampowered.com/app/227000/
P013,Strangeland,1,31,pointer,unknown,heavy,no,conditional,https://store.steampowered.com/app/1369520/
P014,Shardlight,1,32,pointer,unknown,moderate,no,conditional,https://store.steampowered.com/app/336130/
P015,Technobabylon,1,33,pointer,unknown,heavy,no,conditional,https://store.steampowered.com/app/307580/
P016,Blackwell Unbound,1,34,pointer,unknown,moderate,no,conditional,https://store.steampowered.com/app/80340/
P017,Blackwell Convergence,1,35,pointer,unknown,moderate,no,conditional,https://store.steampowered.com/app/80350/
P018,Blackwell Deception,1,36,pointer,unknown,moderate,no,conditional,https://store.steampowered.com/app/80360/
P019,Blackwell Epiphany,1,37,pointer,unknown,heavy,no,conditional,https://store.steampowered.com/app/236930/
P020,The Shivah: Kosher Edition,1,38,pointer,unknown,moderate,no,conditional,https://wadjeteyegames.com/games/the-shivah/
P021,Resonance,1,39,pointer,unknown,heavy,no,conditional,https://wadjeteyegames.com/games/resonance/
P022,Gemini Rue,1,40,mixed,mixed,moderate,no,detour,https://store.steampowered.com/app/80310/ | https://wadjeteyegames.com/2013/04/11/gemini-rue-now-on-the-app-store/
P023,Emerald City Confidential,1,41,pointer,unknown,moderate,no,conditional,https://store.steampowered.com/app/37260/ | https://wadjeteyegames.com/games/emerald-city-confidential/
P024,The Mermaid Mask,1,42,pointer,waits,moderate,no,promising,https://store.steampowered.com/app/1696770/ | https://www.sfbgames.com/
P025,Broken Sword - Shadow of the Templars: Reforged,1,43,pointer,unknown,moderate,no,conditional,https://revolution.co.uk/games_catalog/broken-sword-1/
P026,Broken Sword 2 - the Smoking Mirror: Remastered,1,45,pointer,unknown,moderate,no,conditional,https://revolution.co.uk/games_catalog/broken-sword-2/
P027,Broken Sword 5 - the Serpent's Curse,1,47,pointer,unknown,moderate,no,conditional,https://revolution.co.uk/games_catalog/broken-sword-5/
